Nome,Telefono,Sede
Facoltà di Giurisprudenza,+39 360 2345678,Edificio 19
Facoltà di Logistica e Trasporti,+39 390 6543210,Edificio 2
Facoltà di Scienze Politiche,+39 380 3456789,Edificio 19
Facoltà di Medicina,+39 380 3456789,Edificio 6
Facoltà di Immunologia,+39 350 7654321,Edificio 11
Facoltà di Scienze dei Materiali,+39 320 1234567,Edificio 17
Facoltà di Farmacologia,+39 300 6789012,Edificio 18
Facoltà di Urbanistica,+39 390 6543210,Edificio 16
Facoltà di Lingue e Letterature Straniere,+39 310 4567890,Edificio 18
Facoltà di Psicologia del Lavoro,+39 340 9876543,Edificio 7
Facoltà di Scienze Naturali,+39 320 1234567,Edificio 19
Facoltà di Antropologia,+39 380 3456789,Edificio 9
Facoltà di Scienze Statistiche,+39 310 4567890,Edificio 5
Facoltà di Statistica Economica,+39 390 6543210,Edificio 7
Facoltà di Biochimica,+39 340 9876543,Edificio 20
Facoltà di Astrofisica,+39 310 4567890,Edificio 2
Facoltà di Machine Learning,+39 340 9876543,Edificio 6
Facoltà di Scienze della Comunicazione,+39 310 4567890,Edificio 4
Facoltà di Geologia,+39 340 9876543,Edificio 3
Facoltà di Ingegneria Meccanica,+39 340 9876543,Edificio 5
Facoltà di Informatica Teorica,+39 320 1234567,Edificio 12
Facoltà di Scienze e Tecnologie Alimentari,+39 320 1234567,Edificio 14
Facoltà di Ingegneria Informatica,+39 320 1234567,Edificio 6
Facoltà di Calcolo Numerico,+39 330 5678901,Edificio 20
Facoltà di Ingegneria Biomedica,+39 310 4567890,Edificio 15
Facoltà di Scienze della Formazione,+39 380 3456789,Edificio 4
Facoltà di Farmacia,+39 310 4567890,Edificio 13
Facoltà di Economia Aziendale,+39 370 8765432,Edificio 18
Facoltà di Fisica,+39 360 2345678,Edificio 3
Facoltà di Ingegneria Elettronica,+39 360 2345678,Edificio 20
Facoltà di Scienze Motorie,+39 330 5678901,Edificio 18
Facoltà di Biologia,+39 340 9876543,Edificio 16
Facoltà di Psicopatologia,+39 390 6543210,Edificio 18
Facoltà di Ingegneria Civile,+39 330 5678901,Edificio 17
Facoltà di Genetica,+39 320 1234567,Edificio 15
Facoltà di Scienze Veterinarie,+39 360 2345678,Edificio 6
Facoltà di Neuroscienze,+39 330 5678901,Edificio 9
Facoltà di Programmazione Logica,+39 370 8765432,Edificio 20
Facoltà di Informatica,+39 360 2345678,Edificio 12
Facoltà di Storia,+39 380 3456789,Edificio 4
Facoltà di Scienze Ambientali,+39 340 9876543,Edificio 17
Facoltà di Marketing e Comunicazione,+39 390 6543210,Edificio 12
Facoltà di Sociologia,+39 360 2345678,Edificio 4
Facoltà di Bioinformatica,+39 390 6543210,Edificio 18
Facoltà di Diritto Pubblico,+39 390 6543210,Edificio 11
Facoltà di Economia,+39 340 9876543,Edificio 1
Facoltà di Diritto Internazionale,+39 370 8765432,Edificio 4
Facoltà di Scienze Agrarie,+39 350 7654321,Edificio 11
Facoltà di Intelligenza Artificiale,+39 360 2345678,Edificio 11
Facoltà di Architettura,+39 310 4567890,Edificio 13
Facoltà di Scienze Geografiche,+39 380 3456789,Edificio 19
Facoltà di Chimica,+39 330 5678901,Edificio 14
Facoltà di Psicologia,+39 350 7654321,Edificio 11
Facoltà di Lettere e Filosofia,+39 320 1234567,Edificio 15
Facoltà di Filosofia,+39 330 5678901,Edificio 11
Facoltà di Matematica,+39 380 3456789,Edificio 12
Facoltà di Pedagogia,+39 360 2345678,Edificio 17
Facoltà di Diritto Privato,+39 380 3456789,Edificio 19
Facoltà di Design Industriale,+39 320 1234567,Edificio 4
