Nome,Telefono
Facoltà di Giurisprudenza,+39 360 2345678
Facoltà di Logistica e Trasporti,+39 390 6543210
Facoltà di Scienze Politiche,+39 380 3456789
Facoltà di Medicina,+39 380 3456789
Facoltà di Immunologia,+39 350 7654321
Facoltà di Scienze dei Materiali,+39 320 1234567
Facoltà di Farmacologia,+39 300 6789012
Facoltà di Urbanistica,+39 390 6543210
Facoltà di Lingue e Letterature Straniere,+39 310 4567890
Facoltà di Psicologia del Lavoro,+39 340 9876543
Facoltà di Scienze Naturali,+39 320 1234567
Facoltà di Antropologia,+39 380 3456789
Facoltà di Scienze Statistiche,+39 310 4567890
Facoltà di Statistica Economica,+39 390 6543210
Facoltà di Biochimica,+39 340 9876543
Facoltà di Astrofisica,+39 310 4567890
Facoltà di Machine Learning,+39 340 9876543
Facoltà di Scienze della Comunicazione,+39 310 4567890
Facoltà di Geologia,+39 340 9876543
Facoltà di Ingegneria Meccanica,+39 340 9876543
Facoltà di Informatica Teorica,+39 320 1234567
Facoltà di Scienze e Tecnologie Alimentari,+39 320 1234567
Facoltà di Ingegneria Informatica,+39 320 1234567
Facoltà di Calcolo Numerico,+39 330 5678901
Facoltà di Ingegneria Biomedica,+39 310 4567890
Facoltà di Scienze della Formazione,+39 380 3456789
Facoltà di Farmacia,+39 310 4567890
Facoltà di Economia Aziendale,+39 370 8765432
Facoltà di Fisica,+39 360 2345678
Facoltà di Ingegneria Elettronica,+39 360 2345678
Facoltà di Scienze Motorie,+39 330 5678901
Facoltà di Biologia,+39 340 9876543
Facoltà di Psicopatologia,+39 390 6543210
Facoltà di Ingegneria Civile,+39 330 5678901
Facoltà di Genetica,+39 320 1234567
Facoltà di Scienze Veterinarie,+39 360 2345678
Facoltà di Neuroscienze,+39 330 5678901
Facoltà di Programmazione Logica,+39 370 8765432
Facoltà di Informatica,+39 360 2345678
Facoltà di Storia,+39 380 3456789
Facoltà di Scienze Ambientali,+39 340 9876543
Facoltà di Marketing e Comunicazione,+39 390 6543210
Facoltà di Sociologia,+39 360 2345678
Facoltà di Bioinformatica,+39 390 6543210
Facoltà di Diritto Pubblico,+39 390 6543210
Facoltà di Economia,+39 340 9876543
Facoltà di Diritto Internazionale,+39 370 8765432
Facoltà di Scienze Agrarie,+39 350 7654321
Facoltà di Intelligenza Artificiale,+39 360 2345678
Facoltà di Architettura,+39 310 4567890
Facoltà di Scienze Geografiche,+39 380 3456789
Facoltà di Chimica,+39 330 5678901
Facoltà di Psicologia,+39 350 7654321
Facoltà di Lettere e Filosofia,+39 320 1234567
Facoltà di Filosofia,+39 330 5678901
Facoltà di Matematica,+39 380 3456789
Facoltà di Pedagogia,+39 360 2345678
Facoltà di Diritto Privato,+39 380 3456789
Facoltà di Design Industriale,+39 320 1234567
